epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.155,1.30257,2.91374,1.5085,0.00623,0.73793,0.28106,0.1919,0.97071,2.93956,1.14933,0.000462324,0.000462324,0.000462324
2,114.613,1.14408,2.14173,1.3896,0.60059,0.3735,0.42085,0.24156,1.3282,2.33828,1.47154,0.000920071,0.000920071,0.000920071
3,166.789,1.16584,2.01269,1.39849,0.29251,0.33556,0.25171,0.14624,1.30049,2.36229,1.55086,0.00135896,0.00135896,0.00135896
4,221.065,1.09023,1.78708,1.35579,0.47917,0.2893,0.3103,0.14542,1.67135,2.77545,1.89703,0.00134412,0.00134412,0.00134412
5,274.983,1.10262,1.7836,1.36272,0.51587,0.47048,0.4457,0.27702,1.19947,2.0922,1.40031,0.00131582,0.00131582,0.00131582
6,328.357,1.11217,1.71083,1.35807,0.57461,0.51932,0.51827,0.3622,1.01606,1.7405,1.30437,0.00128753,0.00128753,0.00128753
7,381.06,1.04483,1.57774,1.33273,0.72488,0.56889,0.60237,0.38465,1.19282,1.65523,1.36307,0.00125923,0.00125923,0.00125923
8,432.249,1.04036,1.491,1.33212,0.63669,0.59143,0.61531,0.43592,1.00149,1.68518,1.28252,0.00123094,0.00123094,0.00123094
9,485.211,1.02139,1.44343,1.30611,0.68367,0.56346,0.57179,0.3699,1.2258,1.69436,1.43987,0.00120265,0.00120265,0.00120265
10,534.776,0.98224,1.39852,1.27025,0.72707,0.50121,0.58259,0.38682,1.19802,1.62179,1.36142,0.00117435,0.00117435,0.00117435
11,588.694,1.01561,1.41098,1.29463,0.72768,0.59747,0.67285,0.44106,1.23334,1.36527,1.33703,0.00114606,0.00114606,0.00114606
12,644.95,0.99369,1.3243,1.28833,0.80283,0.64402,0.71042,0.50304,1.09843,1.23696,1.28998,0.00111776,0.00111776,0.00111776
13,699.695,0.95164,1.25759,1.23752,0.71811,0.6331,0.66676,0.46729,1.03431,1.451,1.21717,0.00108947,0.00108947,0.00108947
14,751.756,0.94508,1.23402,1.23456,0.68954,0.61605,0.65002,0.46305,1.00457,1.31921,1.22714,0.00106118,0.00106118,0.00106118
15,807.049,0.93868,1.23317,1.25446,0.7789,0.59374,0.69599,0.52348,0.96473,1.13937,1.18809,0.00103288,0.00103288,0.00103288
